Ano;Nr.;Data de saída;Data de chegada;Dias em missão;Tipo de missão;Meio de transporte;Área;Local;parceiro_1;parceiro_2;parceiro_3;Coordenador;Líder da equipe de saúde;Atendimentos médicos;Crianças (med);Adolescentes (med);Adultos (med);Atendimentos odontológicos;Crianças (odonto);Adolescentes (odonto);Adultos (odonto);Procedimentos odonto;Kits odonto;Atendimentos de enfermagem;Crianças (enf);Adolescentes (enf);Adultos(enf);Procedimentos de enfermagem;Consultas de enfermagem;Atendimentos fisioterapia;Atendimentos psicologia;Atendimentos dermatologia;Atendimento fonoaudiologia;Atendimento nutricionista;Atividades evangelísticas;Evangelismo/Palestra infantil;Palestra/Reunião de mulheres;Ministério/Palestra Adolesc;Palestra/Reunião de homens;Bíblias;Evangelismo nas casas;Cultos/Devocional;Decisão por Cristo;Ceia do Senhor;Batismo;Atividades de saúde;Aerosolterapia;Aplicação de Fluor;Curativos;Encaminh. p/Unidade Hospitalar;Entrega de medicamentos;Escovas e cremes dentais;Exame de hemoglobina glicada;Exame de sífilis;Exame de urina;Exame de hanseníase;Hemograma simples MTX;Inalação;Internação Emergência/Urgência;Kit de higiene;Lavagem Nasal com Procedimento;Lavagem de ouvido;Manutenção de Prótese;Medicação EV/IM;Medicação Ocular;Medicação Oral;Medicação Tópica;Paciente em Observação;Palestra de higiene bucal;Pequenas Cirurgias;Prenatal;Prótese;Retirada de gesso;Teste AIDS;Teste de Covid-19;Teste de glicemia;Teste de gravidez;Teste Doppler;Ultrassonografia;Vacinas;Visitas domiciliares;Outras atividades;Aconselhamento;Brinquedos doados para crianças;Cestas basicas;Corte de cabelo;Curso de Empreendedorismo;Doação de gerador;Doação de óculos;Kit de lanche;Kit para crianças/escolar;Kit para mulheres;Kit para homens;Lembranças;Orientação Jurídica;Orientação/ Assistente Social;Pintura de casas;Poços;Produtos de cabelo;Sacolas de roupas;Treinamento de liderança local;Curso de Gestão Financeira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;2018-01;03/01/2018;11/01/2018;8;Viagem de barco;Barco Linda e Esperança;Rio Negro;;Amazon Outreach;;;;;355;0;0;0;73;0;0;0;401;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;2018-02;21/01/2018;27/01/2018;6;Viagem de barco;Barco JJ Mesquita;Baixo Amazonas;;;;;;;273;0;0;0;42;0;0;0;521;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;2018-03;28/01/2018;03/02/2018;6;Viagem de barco;Barco JJ Mesquita;Rio Solimões;;;;;;;291;0;0;0;65;0;0;0;357;149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;492;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;2018-04;04/03/2018;10/03/2018;6;Viagem de barco;Barco JJ Mesquita;Rio Negro;;;;;;;285;0;0;0;117;0;0;0;713;117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;2018-05;04/03/2018;10/03/2018;6;Viagem de barco;Barco Serguem Silva;Rio Negro;;;;;;;203;0;0;0;78;0;0;0;284;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;389;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;2018-06;18/03/2018;24/03/2018;6;Viagem de barco;Barco JJ Mesquita;Rio Negro;;;;;;;256;0;0;0;81;0;0;0;299;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;2018-07;08/04/2018;14/04/2018;6;Viagem de barco;Barco JJ Mesquita;Rio Negro;;;;;;;281;0;0;0;59;0;0;0;218;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;2018-08;15/04/2018;21/04/2018;6;Viagem de barco;Barco JJ Mesquita;Rio Solimões;;;;;;;345;0;0;0;115;0;0;0;576;144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;2018-09;25/04/2018;02/05/2018;7;Viagem de barco;Barco Amor e Esperança;Baixo Amazonas;;Amazon Outreach;;;;;127;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;635;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;2018-10;13/05/2018;19/05/2018;6;Viagem de barco;Barco JJ Mesquita;Rio Negro;;;;;;;273;0;0;0;70;0;0;0;486;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
